solver,file,duration
minisat,Grid_30,0.09141683578491211
minisat,Grid_08,0.08460426330566406
minisat,Grid_37,0.11328291893005371
minisat,Grid_01,0.0920720100402832
minisat,Grid_39,0.08389496803283691
minisat,Grid_06,0.08414602279663086
minisat,Grid_38,0.0852200984954834
minisat,Grid_07,0.08431291580200195
minisat,Grid_09,0.08390402793884277
minisat,Grid_36,0.08431696891784668
minisat,Grid_31,0.08358907699584961
minisat,Grid_13,0.08339691162109375
minisat,Grid_14,0.09729599952697754
minisat,Grid_22,0.0837399959564209
minisat,Grid_25,0.08215880393981934
minisat,Grid_49,0.08358120918273926
minisat,Grid_40,0.08359694480895996
minisat,Grid_47,0.08324909210205078
minisat,Grid_24,0.08368706703186035
minisat,Grid_23,0.08233213424682617
minisat,Grid_15,0.08358192443847656
minisat,Grid_12,0.08331704139709473
minisat,Grid_46,0.08134889602661133
minisat,Grid_41,0.08577895164489746
minisat,Grid_48,0.08448314666748047
minisat,Grid_34,0.08202385902404785
minisat,Grid_33,0.08585000038146973
minisat,Grid_05,0.08229398727416992
minisat,Grid_02,0.08219504356384277
minisat,Grid_03,0.08295512199401855
minisat,sample,0.0834360122680664
minisat,Grid_04,0.08173298835754395
minisat,Grid_32,0.084320068359375
minisat,Grid_35,0.08369708061218262
minisat,Grid_50,0.0824129581451416
minisat,Grid_44,0.08237385749816895
minisat,Grid_43,0.0836801528930664
minisat,Grid_17,0.08345699310302734
minisat,Grid_28,0.0854949951171875
minisat,Grid_10,0.08390402793884277
minisat,Grid_26,0.08214497566223145
minisat,Grid_19,0.0837099552154541
minisat,Grid_21,0.08409905433654785
minisat,Grid_42,0.08253288269042969
minisat,Grid_45,0.08308100700378418
minisat,Grid_20,0.08234190940856934
minisat,Grid_27,0.08281803131103516
minisat,Grid_18,0.08298587799072266
minisat,Grid_11,0.08452296257019043
minisat,Grid_16,0.08282709121704102
minisat,Grid_29,0.08141398429870605
sat4j,Grid_30,0.28302597999572754
sat4j,Grid_08,0.17005228996276855
sat4j,Grid_37,0.16012811660766602
sat4j,Grid_01,0.15279412269592285
sat4j,Grid_39,0.15207195281982422
sat4j,Grid_06,0.15594005584716797
sat4j,Grid_38,0.13873505592346191
sat4j,Grid_07,0.14103317260742188
sat4j,Grid_09,0.14911103248596191
sat4j,Grid_36,0.14511632919311523
sat4j,Grid_31,0.1483747959136963
sat4j,Grid_13,0.15243220329284668
sat4j,Grid_14,0.15416502952575684
sat4j,Grid_22,0.15440797805786133
sat4j,Grid_25,0.15248990058898926
sat4j,Grid_49,0.16544795036315918
sat4j,Grid_40,0.16086196899414062
sat4j,Grid_47,0.15440607070922852
sat4j,Grid_24,0.15539908409118652
sat4j,Grid_23,0.14887380599975586
sat4j,Grid_15,0.1481459140777588
sat4j,Grid_12,0.1495800018310547
sat4j,Grid_46,0.15290427207946777
sat4j,Grid_41,0.14931416511535645
sat4j,Grid_48,0.1487259864807129
sat4j,Grid_34,0.15138697624206543
sat4j,Grid_33,0.1485459804534912
sat4j,Grid_05,0.1514110565185547
sat4j,Grid_02,0.149763822555542
sat4j,Grid_03,0.16411995887756348
sat4j,sample,0.15222501754760742
sat4j,Grid_04,0.15056490898132324
sat4j,Grid_32,0.15118718147277832
sat4j,Grid_35,0.14945077896118164
sat4j,Grid_50,0.14998197555541992
sat4j,Grid_44,0.1523571014404297
sat4j,Grid_43,0.15045595169067383
sat4j,Grid_17,0.15070104598999023
sat4j,Grid_28,0.15254497528076172
sat4j,Grid_10,0.14914488792419434
sat4j,Grid_26,0.15288281440734863
sat4j,Grid_19,0.16617774963378906
sat4j,Grid_21,0.16507792472839355
sat4j,Grid_42,0.15088796615600586
sat4j,Grid_45,0.15479183197021484
sat4j,Grid_20,0.18768000602722168
sat4j,Grid_27,0.15210914611816406
sat4j,Grid_18,0.15095210075378418
sat4j,Grid_11,0.15712189674377441
sat4j,Grid_16,0.15839290618896484
sat4j,Grid_29,0.15921902656555176
z3,Grid_30,0.11200213432312012
z3,Grid_08,0.08178186416625977
z3,Grid_37,0.08407807350158691
z3,Grid_01,0.08406186103820801
z3,Grid_39,0.08261299133300781
z3,Grid_06,0.0865788459777832
z3,Grid_38,0.08180689811706543
z3,Grid_07,0.08240628242492676
z3,Grid_09,0.08097982406616211
z3,Grid_36,0.08225202560424805
z3,Grid_31,0.08404111862182617
z3,Grid_13,0.08260083198547363
z3,Grid_14,0.07888984680175781
z3,Grid_22,0.07936596870422363
z3,Grid_25,0.08340835571289062
z3,Grid_49,0.08514285087585449
z3,Grid_40,0.08380794525146484
z3,Grid_47,0.08083796501159668
z3,Grid_24,0.08059120178222656
z3,Grid_23,0.0798182487487793
z3,Grid_15,0.08277368545532227
z3,Grid_12,0.0958099365234375
z3,Grid_46,0.08144998550415039
z3,Grid_41,0.08065199851989746
z3,Grid_48,0.09115004539489746
z3,Grid_34,0.08315014839172363
z3,Grid_33,0.08097982406616211
z3,Grid_05,0.08061385154724121
z3,Grid_02,0.08107209205627441
z3,Grid_03,0.07977914810180664
z3,sample,0.08073663711547852
z3,Grid_04,0.08127427101135254
z3,Grid_32,0.08120083808898926
z3,Grid_35,0.0826559066772461
z3,Grid_50,0.08461785316467285
z3,Grid_44,0.08562088012695312
z3,Grid_43,0.08267903327941895
z3,Grid_17,0.08045077323913574
z3,Grid_28,0.08496212959289551
z3,Grid_10,0.08321094512939453
z3,Grid_26,0.08343982696533203
z3,Grid_19,0.08374810218811035
z3,Grid_21,0.08243989944458008
z3,Grid_42,0.08206892013549805
z3,Grid_45,0.08273506164550781
z3,Grid_20,0.07956671714782715
z3,Grid_27,0.08326101303100586
z3,Grid_18,0.08098983764648438
z3,Grid_11,0.08437371253967285
z3,Grid_16,0.08153486251831055
z3,Grid_29,0.08299684524536133
